Actual Data,Predicted Data
0.7,0.860709101
0.6,0.795266106
0.7,0.729980101
2,1.123980817
0.7,0.664854588
0.3,0.535099034
0.6,0.664854588
0.9,0.795266106
3,2.40114901
0.7,0.664854588
2.3,0.729980101
224.3,24.29012335
3.2,2.537532815
0.5,0.535099034
0.9,1.656992238
0.8,0.860709101
0.9,0.664854588
2.7,9.740336314
2.9,0.664854588
1.1,0.664854588
3,1.858804849
2.2,1.993856318
1.3,1.123980817
1.8,1.057944948
8.3,3.842420439
14.4,10.19026112
31.4,12.71294581
1.6,1.322910997
0.3,0.470475983
0.7,0.860709101
1,1.724156482
0.8,0.795266106
0.4,0.470475983
1.3,1.5230012
0.4,0.470475983
1.3,1.389483529
1.8,0.599893067
5.6,6.097107509
0.5,0.599893067
0.4,0.535099034
1.3,0.664854588
0.4,0.599893067
1,0.926305578
0.7,0.599893067
0.6,1.123980817
6.3,1.858804849
4,3.566899143
0.4,0.599893067
0.6,0.664854588
4.9,4.874066709
0.8,0.860709101
1,0.926305578
0.8,0.860709101
2.7,3.911311824
0.3,0.535099034
0.6,0.664854588
1.7,1.389483529
0.9,0.795266106
46.1,8.614100272
1,0.992052031
14.6,2.674179975
1.2,1.123980817
0.3,0.470475983
1.4,16.28286211
1,0.992052031
0.8,0.599893067
0.7,0.860709101
0.5,0.535099034
2.3,1.858804849
5.8,0.535099034
1.7,1.389483529
0.7,0.795266106
0.7,0.795266106
0.6,0.664854588
102.8,12.37261892
0.5,0.535099034
0.7,0.926305578
0.5,0.470475983
2.4,2.129282833
2.5,1.256467357
1.4,1.322910997
7.5,4.805503508
0.6,0.664854588
0.2,0.406027403
0.4,0.535099034
0.4,0.535099034
0.3,0.535099034
4,0.992052031
0.9,1.456181435
0.9,0.795266106
0.4,0.992052031
1.5,1.322910997
1.1,0.926305578
1.4,4.805503508
28.4,5.147813456
2.1,1.656992238
13.5,2.333064557
0.9,0.860709101
0.2,0.406027403
0.6,0.729980101
0.2,0.406027403
0.8,0.729980101
0.8,0.795266106
0.9,1.256467357
1.8,1.589939306
10.6,1.190156125
0.8,0.729980101
1.7,3.980200978
1.7,1.389483529
0.1,0.406027403
0.8,0.795266106
0.5,0.599893067
0.4,0.729980101
2,5.488626009
2,5.759941987
4.4,4.324497825
19.6,1.123980817
780.9,19.43489119
1.2,2.129282833
0.3,0.535099034
0.3,0.470475983
0.7,0.729980101
