Actual Train,Predicted Train
1.6,1.5680876
0.8,0.8940841
1.7,1.6874281
3.4,3.170309
1.4,1.2559494
0.6,0.66831183
1.6,1.4882594
2.4,2.3560293
5.2,5.3683825
0.8,0.742369
2,1.8990993
13.4,13.444171
5.6,5.3922553
1.3,1.2583752
0.8,0.8830086
1.2,1.1830752
4,4.103542
3.5,3.1528053
1.7,1.6070876
2,2.3485997
1.7,1.7667645
2.7,2.746533
1.3,1.3241751
1.2,1.1522117
5.5,5.73007
3.8,4.025331
12.2,12.154715
2.3,2.289741
0.8,0.79131633
0.7,0.6469415
1.9,1.679124
2.1,2.125019
4.5,4.386364
2.6,2.820807
1.2,1.3297092
1.9,1.9468056
2,2.025495
7.2,7.3925586
1.1,1.1980871
0.6,0.5354215
1.8,1.7948345
1.5,1.4582837
1.8,1.6112115
0.6,0.7651695
1.4,1.3836312
1.9,2.197739
9.6,9.608446
1.6,1.6248003
1.6,1.5249425
4.6,4.522586
0.7,0.68921137
1.4,1.4928147
1.9,2.024039
4,3.9756606
1.3,1.2397403
2.2,2.0350344
1.5,1.5253978
1.6,1.4851066
7.3,7.5803485
0.9,0.98144644
8,7.9450555
1.9,2.0258174
0.7,0.70584357
1.2,1.1443244
1.8,1.8514177
0.8,0.8188762
0.9,1.0727348
1.7,1.5983256
3.8,3.6982706
2.9,2.8330774
1.4,1.3950659
0.7,0.636417
1.1,0.99608797
0.6,0.563098
11.3,11.272507
0.9,0.80464166
1.8,1.7029467
0.7,0.6858208
2.2,2.2112808
2.5,2.3805916
5.7,5.552563
8.6,8.512384
1.7,1.720243
0.6,0.5971461
1.5,1.3815509
1.3,1.2101016
0.9,0.9638421
1.6,1.9606091
2.1,1.9445099
1.6,1.7836667
0.9,0.9812999
1,1.0441984
2.5,2.6020205
1,1.2913406
5.5,5.6402893
3,2.9988086
5.9,6.0829015
1.2,1.1494446
0.6,0.73680586
4.6,4.5455923
0.6,0.5971461
1.6,1.6470599
1.5,1.3670561
1.5,1.3407364
2,2.067163
5.2,5.1547804
0.7,0.7373379
1.7,1.8403294
1.5,1.5253978
2.2,2.2033398
1.2,1.1607915
