Actual Train,Predicted Train
1.7,1.87
0.9,0.865
1.6,1.63
1.2,1.2
1.4,1.395
0.7,0.68
1.3,1.29
2.3,2.305
10.8,10.495
3.2,3.245
1.5,1.5
6.8,7.5
5.9,5.635
1.3,1.28
0.7,0.655
1.4,1.355
3.8,3.835
3.2,3.16
2.6,2.42
1.9,1.91
1.3,1.31
2.3,2.25
1.4,1.4
1.1,1.09
3.7,3.79
3.3,3.215
7.9,7.94
5.5,4.765
1,0.9
0.8,0.75
2,1.965
2.1,2.0975
2.5,2.555
2.3,2.325
7.7,8.63
1.6,1.595
1.7,1.66
5.8,5.85
1,1.005
0.6,0.59
1.5,1.475
1.4,1.42
1.4,1.41
2.2,2.405
1.3,1.225
8.1,8.1
9.1,8.76
1.6,1.585
1.6,1.57
4.7,4.475
0.7,0.715
1.4,1.395
1.9,1.89
3,2.97
1.3,1.320833333
1.9,1.915
1.4,1.4
1.5,1.495
3.9,4
0.8,0.81
7.1,7.12
1.7,1.695
0.7,0.67
0.8,0.8
5.4,5.38
0.8,0.775
0.8,0.86
1.5,1.485
3.3,3.385
3.7,3.69
2.7,2.32
0.7,0.78
3.5,4.365
0.6,0.59
1.5,1.505
1.5,1.455
2.4,2.48
0.8,0.79
9.3,10.185
4.1,4.265
11.7,11.195
8.1,7.845
1.7,1.675
0.5,0.585
1.5,1.58
1.2,1.24
2.7,2.82
3.7,6.425
2.3,2.28
1.4,1.485
2.1,2.085
1.9,2.185
2.4,2.43
0.9,0.975
2.8,2.575
1.4,1.405
6.1,6.19
1.3,1.54
0.5,0.545
4.4,4.38
0.6,0.63
1.5,1.51
1.5,1.49
2,1.795
4.3,4.115
6,5.77
3.2,3.215
1.7,1.635
1.4,1.545
2.1,2.145
1.4,1.335
0.8,0.8
2.6,2.655
1.4,1.415
2.6,2.54
6.7,6.75
11.3,11.455
0.9,0.94
1.1,1.06
7.1,7.59
0.8,0.83
1.8,1.92
1.3,1.303
4.1,4.195
1.2,1.2
8.5,8.64
2.7,2.57
3.5,3.695
1.2,1.23
1.2,1.225
0.6,0.62
1.3,1.275
1,1.005
2.9,2.84
4,3.92
1.4,1.364166667
2.6,2.66
7.2,9.235
0.8,0.79
1.2,1.23
