SSL(t-1),q(t-1),SSL(t)
0.7,1.8,0.8
0.8,1.9,1.3
1.3,2.5,1.4
1.4,2.6,1.3
1.3,2.5,1
1,2.2,0.9
0.9,2.1,0.8
0.8,2,1.3
1.3,2.5,1.1
1.1,2.3,1.3
1.3,2.5,1.2
1.2,2.4,0.9
0.9,2.1,0.9
0.9,2.1,0.8
0.8,2,0.8
0.8,2,0.9
0.9,2.1,0.8
0.8,1.9,0.7
0.7,1.9,0.7
0.7,1.9,0.7
0.7,1.9,0.7
0.7,1.9,0.8
0.8,1.9,0.8
0.8,1.9,0.7
0.7,1.8,0.7
0.7,1.8,0.7
0.7,1.8,0.6
0.6,1.8,0.6
0.6,1.7,0.6
0.6,1.6,0.6
0.6,1.6,0.5
0.5,1.6,0.5
0.5,1.6,0.5
0.5,1.6,0.5
0.5,1.5,0.5
0.5,1.5,0.4
0.4,1.4,0.5
0.5,1.5,0.5
0.5,1.5,0.5
0.5,1.6,0.5
0.5,1.6,0.8
0.8,2,0.7
0.7,1.8,0.5
0.5,1.6,0.5
0.5,1.6,0.9
0.9,2.1,1
1,2.2,0.8
0.8,1.9,0.6
0.6,1.7,0.6
0.6,1.7,0.5
0.5,1.6,0.5
0.5,1.5,0.5
0.5,1.5,0.5
0.5,1.4,0.4
0.4,1.4,0.5
0.5,1.3,0.6
0.6,1.3,0.7
0.7,1.3,0.7
0.7,1.3,0.7
0.7,1.3,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.2,0.7
0.7,1.2,0.6
0.6,1.3,0.6
0.6,1.3,0.6
0.6,1.3,0.7
0.7,1.4,0.9
0.9,1.6,0.8
0.8,1.4,0.6
0.6,1.3,0.8
0.8,1.6,0.8
0.8,1.5,0.6
0.6,1.3,0.6
0.6,1.3,0.6
0.6,1.3,0.6
0.6,1.2,0.6
0.6,1.2,0.6
0.6,1.2,0.7
0.7,1.3,2.1
2.1,1.5,1.3
1.3,1.4,6
6,2.2,2.4
2.4,1.5,1.4
1.4,1.4,1.4
1.4,1.5,1.5
1.5,1.3,0.8
0.8,1.2,0.6
0.6,1.2,0.6
0.6,1.1,0.7
0.7,1.2,0.8
0.8,1.2,1.5
1.5,1.7,1.7
1.7,1.7,3.6
3.6,2.4,2.4
2.4,1.8,1.3
1.3,1.5,1.1
1.1,1.4,0.9
0.9,1.3,0.8
0.8,1.2,0.8
0.8,1.2,1
1,1.4,1.2
1.2,1.4,0.8
0.8,1.2,0.8
0.8,1.1,0.7
0.7,1.1,0.7
0.7,1,105
105,3.5,74
74,2.5,4.7
4.7,1.4,3.4
3.4,1.6,9.6
9.6,2.9,18.8
18.8,4.4,9.4
9.4,2.9,5.5
5.5,2,4.8
4.8,1.6,6.7
6.7,1.4,5.7
5.7,1.3,4.6
4.6,1.2,2.4
2.4,1.1,2.9
2.9,1.1,4.6
4.6,1,3.9
3.9,1,2.6
2.6,0.9,2.7
2.7,0.9,1.1
1.1,0.9,1.3
1.3,1,1.1
1.1,0.8,1.1
1.1,0.8,1
1,0.8,0.9
0.9,0.8,0.9
0.9,0.8,0.9
0.9,0.7,0.8
0.8,0.7,1
1,0.7,0.9
0.9,0.7,0.8
0.8,0.7,0.8
0.8,0.7,0.8
0.8,0.7,0.8
0.8,0.7,0.9
0.9,0.7,0.7
0.7,0.7,0.7
0.7,0.6,1.4
1.4,1,1.6
1.6,1.1,1
1,0.8,0.8
0.8,0.7,0.7
0.7,0.7,0.6
0.6,0.6,0.9
0.9,0.7,1.3
1.3,0.7,0.9
0.9,0.7,4.9
4.9,1.8,45.8
45.8,5.9,6
6,2.5,2.6
2.6,1.8,1.6
1.6,1.3,3.3
3.3,1.7,4.5
4.5,2.1,2.2
2.2,1.5,1.1
1.1,1,1
1,0.9,1.1
1.1,0.9,0.8
0.8,0.8,0.7
0.7,0.7,1.1
1.1,0.9,1.5
1.5,1.2,1.2
1.2,1,1.3
1.3,1.1,0.8
0.8,0.8,0.7
0.7,0.7,2.9
2.9,1.2,5
5,1.3,126.6
126.6,5,19.8
19.8,2.9,5
5,1.9,3.1
3.1,1.4,3
3,1.1,3.8
3.8,1.8,160.9
160.9,5,322.5
322.5,7.7,4.7
4.7,2.6,2.7
2.7,1.8,1.8
1.8,1.4,1.4
1.4,1.3,1.2
1.2,1.2,1.7
1.7,1.4,1.2
1.2,1.1,1.1
1.1,1.1,1.2
1.2,1.2,1.7
1.7,1.5,2.9
2.9,2,1.7
1.7,1.5,1.1
1.1,1.2,0.9
0.9,1.1,0.8
0.8,1,0.8
0.8,1,0.7
0.7,1,0.7
0.7,0.9,1.1
1.1,1.2,0.9
0.9,1.1,1.3
1.3,1.4,6.9
6.9,2.9,2.4
2.4,1.7,1.2
1.2,1.2,0.9
0.9,1.1,1.4
1.4,1.5,2.6
2.6,2,1.3
1.3,1.4,1
1,1.3,0.9
0.9,1.2,0.8
0.8,1.1,0.8
0.8,1.1,0.9
0.9,1.1,1.1
1.1,1.2,0.9
0.9,1.1,0.8
0.8,1,0.6
0.6,1,23.8
23.8,4.4,34.7
34.7,6.4,4.6
4.6,2.9,2.2
2.2,2.2,1.5
1.5,1.8,1.2
1.2,1.5,1
1,1.4,0.9
0.9,1.3,177
177,3.2,27.4
27.4,2.3,10.9
10.9,3,7.8
7.8,3,2.8
2.8,2,2.1
2.1,1.8,1.9
1.9,1.6,1.8
1.8,1.5,1.5
1.5,1.4,1.3
1.3,1.3,1.3
1.3,1.3,1.3
1.3,1.3,1.3
1.3,1.4,1.4
1.4,1.4,1.2
1.2,1.3,1.2
1.2,1.4,1.1
1.1,1.3,0.8
0.8,1.1,1.1
1.1,1.3,0.8
0.8,1.2,0.7
0.7,1.1,1
1,1.2,0.8
0.8,1.1,0.7
0.7,1.1,4.3
4.3,2.2,48.7
48.7,3.5,13.7
13.7,3.6,44.1
44.1,4.8,7.1
7.1,3.6,2.3
2.3,2.3,1.6
1.6,2,1.3
1.3,1.8,48.8
48.8,5,248.3
248.3,10.7,10.4
10.4,5.1,4
4,3.6,2.6
2.6,2.9,2
2,2.6,1.6
1.6,2.4,1.3
1.3,2.3,1.2
1.2,2.1,1
1,1.9,1.1
1.1,2,1
1,1.8,1
1,1.7,1.2
1.2,1.8,1.2
1.2,1.7,1.7
1.7,2.1,1.6
1.6,1.9,1.5
1.5,1.7,1.4
1.4,1.6,1.4
1.4,1.6,1.5
1.5,1.6,1.7
1.7,1.5,1.7
1.7,1.5,1.7
1.7,1.4,1.8
1.8,1.4,1.7
1.7,1.4,1.7
1.7,1.4,2.4
2.4,1.7,4.2
4.2,2.7,2.7
2.7,2.1,2.1
2.1,1.8,1.8
1.8,1.6,1.6
1.6,1.5,1.5
1.5,1.5,1.4
1.4,1.5,1.3
1.3,1.4,1.2
1.2,1.4,1.1
1.1,1.4,1
1,1.3,0.9
0.9,1.3,0.8
0.8,1.4,0.8
0.8,1.6,0.7
0.7,1.5,0.8
0.8,1.6,0.9
0.9,1.7,0.8
0.8,1.6,0.7
0.7,1.5,0.6
0.6,1.5,0.6
0.6,1.4,0.6
0.6,1.3,6.1
6.1,2.2,51.7
51.7,6.5,7.5
7.5,3.8,3.9
3.9,3.3,4.8
4.8,3.6,2.7
2.7,2.8,2.1
2.1,2.7,4
4,3.5,12.5
12.5,5.4,46.1
46.1,7.3,8.1
8.1,5.1,3.9
3.9,3.9,2.9
2.9,3.4,2.2
2.2,3,6.1
6.1,4.4,3.8
3.8,3.7,2.2
2.2,3,1.9
1.9,2.6,1.5
1.5,2.3,1.4
1.4,2.3,1.4
1.4,2.2,1.4
1.4,2.3,1.5
1.5,2.4,1.6
1.6,2.5,1.5
1.5,2.5,1.3
1.3,2.4,1.3
1.3,2.3,1.2
1.2,2.2,3.8
3.8,2.7,255.2
255.2,14.1,181.4
181.4,20.2,49.8
49.8,14.2,10.6
10.6,6.9,6.2
6.2,5.7,8.7
8.7,6.2,8.1
8.1,6.3,4.5
4.5,5.3,3.5
3.5,4.8,3.1
3.1,4.5,2.4
2.4,4,2.3
2.3,3.8,2.1
2.1,3.6,1.8
1.8,3.3,1.9
1.9,3.2,1.6
1.6,3.1,1.4
1.4,2.9,1.3
1.3,2.8,1.2
1.2,2.8,1.1
1.1,2.7,1.1
1.1,2.7,1.2
1.2,3,1.2
1.2,2.8,1.1
1.1,2.6,1
1,2.5,0.9
0.9,2.4,0.9
0.9,2.4,0.9
0.9,2.3,0.8
0.8,2.2,0.9
0.9,2.1,0.9
0.9,2.1,0.8
0.8,2.1,0.9
0.9,2.3,1
1,2.3,1
1,2.3,0.9
0.9,2.3,0.8
0.8,2.2,0.7
0.7,2.1,0.7
0.7,2.1,0.7
0.7,2.1,0.7
0.7,2,0.8
0.8,2.1,0.8
0.8,2.1,1.1
1.1,2.3,1.5
1.5,2.6,1.1
1.1,2.4,1
1,2.6,1.1
1.1,2.5,1
1,2.5,1.2
1.2,2.4,1.6
1.6,2.4,2.1
2.1,2.4,30.9
30.9,5.8,10.6
10.6,5,3
3,3.9,1.9
1.9,3.4,1.4
1.4,3,1.1
1.1,2.8,1.1
1.1,2.9,1.4
1.4,3.1,1.6
1.6,3.3,1.6
1.6,3.6,2.4
2.4,3.4,2.8
2.8,3,3.2
3.2,2.8,2.8
2.8,2.9,2.1
2.1,2.8,1.3
1.3,2.9,1.3
1.3,2.9,1.9
1.9,2.7,2.6
2.6,2.5,3.2
3.2,2.4,3.3
3.3,2.3,3.3
3.3,2.3,3.4
3.4,2.3,3.5
3.5,2.2,2.8
2.8,2.2,2.8
2.8,2.3,2.4
2.4,2.2,3.8
3.8,3,120.7
120.7,9.3,186.2
186.2,12.5,30.6
30.6,8.7,18.5
18.5,7.3,11
11,6.8,8.9
8.9,6.1,5.4
5.4,5.2,4.3
4.3,4.5,3.9
3.9,4.1,3.8
3.8,4,4.3
4.3,4.1,4.5
4.5,4,4.2
4.2,3.5,3.9
3.9,3.2,4.1
4.1,3.1,3.9
3.9,2.8,4
4,2.8,2.7
2.7,2.8,3
3,2.7,2.9
2.9,2.6,2.3
2.3,2.5,2.2
2.2,2.3,2.4
2.4,2.2,2.3
2.3,2,2.4
2.4,2.2,2.3
2.3,2.1,2.2
2.2,2,2.1
2.1,2,2.2
2.2,2,8.6
8.6,4.3,4.7
4.7,3.2,2.3
2.3,2.4,2.3
2.3,2.8,2.1
2.1,2.5,1.8
1.8,2.2,2.8
2.8,3.5,1.9
1.9,2.6,2
2,2.4,1.7
1.7,2.1,1.7
1.7,2,1.8
1.8,2,1.9
1.9,1.8,1.9
1.9,1.7,2
2,1.7,6.3
6.3,2.3,2.4
2.4,1.7,2.2
2.2,1.6,2.1
2.1,1.5,2.1
2.1,1.5,2.1
2.1,1.5,2.1
2.1,1.4,2.1
2.1,1.4,2.1
2.1,1.4,2
2,1.4,2
2,1.4,2
2,1.3,2.4
2.4,1.5,3
3,1.7,2
2,1.4,1.6
1.6,1.3,1.5
1.5,1.3,1.7
1.7,1.5,1.5
1.5,1.3,1.5
1.5,1.3,1.7
1.7,1.3,1.6
1.6,1.2,1.5
1.5,1.1,1.6
1.6,1.1,1.5
1.5,1,14.3
14.3,2.8,5.4
5.4,1.9,8
8,3.6,2.6
2.6,2,2
2,1.6,1.9
1.9,1.5,2
2,1.3,2
2,1.3,1.9
1.9,1.2,1.8
1.8,1.2,1.7
1.7,1.1,2
2,1.3,1.9
1.9,1.3,1.9
1.9,1.3,1.8
1.8,1.2,2.4
2.4,1.7,8.8
8.8,3.5,4.2
4.2,2.5,2.4
2.4,1.7,1.9
1.9,1.4,1.8
1.8,1.3,2.3
2.3,1.3,2.8
2.8,1.3,1.9
1.9,1.1,1.6
1.6,1.1,1.4
1.4,1,1.4
1.4,1,1.3
1.3,1,1.3
1.3,0.9,1.6
1.6,1.2,1.3
1.3,1,1.8
1.8,1.3,1.3
1.3,0.9,1.3
1.3,0.9,1.2
1.2,0.9,1.2
1.2,0.9,1.3
1.3,0.9,1.6
1.6,1.1,1.8
1.8,1.2,1.4
1.4,0.9,1.2
1.2,0.9,1.4
1.4,0.9,1.4
1.4,0.8,1.5
1.5,0.8,1.5
1.5,0.8,2
2,1,6.7
6.7,2.2,1.4
1.4,1,1.6
1.6,1.1,1.2
1.2,0.9,1.3
1.3,1,1.5
1.5,1.1,1.1
1.1,0.9,0.9
0.9,0.9,0.8
0.8,0.8,0.8
0.8,0.8,0.7
0.7,0.8,0.6
0.6,0.7,0.5
0.5,0.7,0.4
0.4,0.6,0.4
0.4,0.6,0.3
0.3,0.6,0.3
0.3,0.6,0.4
0.4,0.5,0.4
0.4,0.5,0.4
0.4,0.6,0.3
0.3,0.5,0.3
0.3,0.5,0.4
0.4,0.6,1
1,0.9,5.3
5.3,7.6,2.6
2.6,3.4,1.9
1.9,2.4,1.1
1.1,1.5,0.9
0.9,1.3,0.9
0.9,1.2,0.8
0.8,1.1,0.7
0.7,0.9,0.7
0.7,1,1.4
1.4,1.9,0.8
0.8,1.1,0.7
0.7,0.9,0.7
0.7,0.9,0.7
0.7,0.9,0.7
0.7,0.8,0.7
0.7,0.8,0.7
0.7,0.9,0.9
0.9,1.2,0.7
0.7,0.9,0.8
0.8,1,0.5
0.5,0.8,0.9
0.9,1.2,0.7
0.7,1,0.8
0.8,1.1,0.6
0.6,0.9,0.5
0.5,0.9,0.5
0.5,0.9,0.4
0.4,0.8,0.5
0.5,0.8,0.5
0.5,0.8,1.6
1.6,1.4,0.8
0.8,0.9,0.6
0.6,0.9,0.7
0.7,1,0.7
0.7,1,1.5
1.5,1.2,1
1,0.9,1.1
1.1,0.9,1.5
1.5,1,0.7
0.7,0.9,0.6
0.6,0.9,0.7
0.7,0.9,0.6
0.6,0.8,0.5
0.5,0.8,0.6
0.6,0.8,0.7
0.7,0.8,0.5
0.5,0.8,0.5
0.5,0.9,0.6
0.6,0.9,0.4
0.4,0.8,0.4
0.4,0.8,0.5
0.5,0.8,0.9
0.9,1.2,0.9
0.9,1.2,1.9
1.9,1.5,2.2
2.2,1.3,0.6
0.6,0.9,0.3
0.3,0.8,0.3
0.3,0.9,1.4
1.4,1.6,5.5
5.5,2.5,2.1
2.1,1.8,1.6
1.6,1.8,0.9
0.9,1.4,0.6
0.6,1.2,0.5
0.5,1.1,0.4
0.4,1,0.4
0.4,1,0.5
0.5,0.9,0.5
0.5,1,0.4
0.4,0.9,0.4
0.4,0.9,0.4
0.4,0.8,0.4
0.4,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.4
0.4,0.9,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.9,0.2
0.2,0.8,0.2
0.2,0.8,0.3
0.3,1,0.3
0.3,0.9,0.2
0.2,0.9,0.2
0.2,0.8,0.3
0.3,0.9,0.2
0.2,0.9,0.2
0.2,0.8,0.4
0.4,1,1.6
1.6,1.6,1.5
1.5,1.8,1.5
1.5,1.8,7.7
7.7,3.1,3.8
3.8,2.3,235.2
235.2,14.9,55.6
55.6,10,8.5
8.5,3.8,4.1
4.1,2.7,3
3,2.3,2.7
2.7,2.1,2.8
2.8,2.1,2.9
2.9,2,2.8
2.8,1.9,3.3
3.3,2,60.3
60.3,17,343.1
343.1,34,122.4
122.4,23.3,14
14,8.5,7
7,6,4.4
4.4,5.2,3.1
3.1,4.3,2.4
2.4,3.8,1.9
1.9,3.4,1.8
1.8,3.5,2.1
2.1,3.6,2
2,3.6,4.9
4.9,7.3,6.6
6.6,6.1,3.9
3.9,4.9,2.6
2.6,4.1,2
2,3.6,1.9
1.9,3.5,2.3
2.3,3.5,2.2
2.2,3.2,1.9
1.9,3,1.6
1.6,2.9,2
2,3.2,1.7
1.7,3,1.4
1.4,2.7,1.3
1.3,2.6,1.2
1.2,2.5,1.1
1.1,2.4,1
1,2.3,1
1,2.3,0.9
0.9,2.2,0.9
0.9,2.1,0.9
0.9,2.2,0.8
0.8,2.1,0.8
0.8,2.1,0.9
0.9,2.1,0.9
0.9,2.1,1
1,2.3,1.5
1.5,2.6,3.8
3.8,3.6,2.1
2.1,3,1.3
1.3,2.7,23.4
23.4,6.4,46
46,9.4,24.9
24.9,10,12.2
12.2,8.2,5.3
5.3,6.2,3.6
3.6,5.3,2.4
2.4,4.6,2
2,4,1.8
1.8,3.5,1.5
1.5,3.2,1.3
1.3,3,1.8
1.8,2.7,1.1
1.1,2.6,1.4
1.4,2.7,10.6
10.6,5.2,12.3
12.3,6.4,5.8
5.8,6,6
6,6.1,4.4
4.4,5.6,2.6
2.6,4.7,10.8
10.8,6.7,28.8
28.8,8.8,15.7
15.7,8.4,6.6
6.6,6.9,4.3
4.3,6.2,3.5
3.5,6,4.7
4.7,6.4,3.6
3.6,6.1,3.3
3.3,5.9,43.2
43.2,8.6,86
86,15.3,9.8
9.8,8,6
6,7,4.3
4.3,6.4,19.4
19.4,8.9,9.3
9.3,7.8,4.8
4.8,6.5,3.2
3.2,5.8,3
3,5.5,2.7
2.7,5.3,2.4
2.4,5,265.3
265.3,27,78.1
78.1,18.9,17.3
17.3,10.7,10.1
10.1,9,5.9
5.9,7.4,4.3
4.3,6.7,3.6
3.6,6.3,3.4
3.4,5.8,3.2
3.2,5.6,3
3,5.5,4.3
4.3,5.9,8.6
8.6,7.3,4.5
4.5,6.3,3.6
3.6,6,4.8
4.8,6.6,4.1
4.1,6.3,3.1
3.1,5.5,2.3
2.3,4.7,1.8
1.8,4.1,1.7
1.7,3.9,1.6
1.6,3.8,1.5
1.5,3.7,1.3
1.3,3.6,1.8
1.8,3.5,1.3
1.3,3.4,1.2
1.2,3.3,1.2
1.2,3.2,1.1
1.1,3.2,1.1
1.1,3.2,1
1,3.1,1
1,3.1,1
1,3.1,1
1,3.1,1
1,3,1.2
1.2,3.4,1
1,3.1,0.9
0.9,3,2.7
2.7,4,1.8
1.8,3.6,4.6
4.6,4.6,5.4
5.4,5.1,2.7
2.7,4,1.7
1.7,3.3,1.3
1.3,3,1.2
1.2,2.9,1.1
1.1,2.7,1
1,2.6,0.9
0.9,2.6,1
1,2.6,0.9
0.9,2.5,0.8
0.8,2.5,0.7
0.7,2.4,0.8
0.8,2.5,1.1
1.1,2.8,0.9
0.9,2.6,0.8
0.8,2.8,6.9
6.9,5,4.2
4.2,4,1.5
1.5,3,1.1
1.1,2.7,1
1,2.6,0.9
0.9,2.5,0.8
0.8,2.5,0.8
0.8,2.5,0.7
0.7,2.4,2.1
2.1,3.6,2
2,3.3,1
1,2.9,1.1
1.1,2.8,1
1,2.7,0.8
0.8,2.5,0.7
0.7,2.3,0.7
0.7,2.2,1
1,2.5,0.7
0.7,2.1,0.6
0.6,2,0.6
0.6,1.9,0.6
0.6,1.8,0.6
0.6,1.8,0.6
0.6,1.7,0.6
0.6,1.6,0.7
0.7,1.7,0.9
0.9,1.9,0.9
0.9,1.7,0.7
0.7,1.6,1
1,1.8,1.8
1.8,1.7,1
1,1.6,1
1,1.6,0.9
0.9,1.5,1
1,1.4,0.9
0.9,1.4,2.1
2.1,1.8,14.3
14.3,3.7,3.5
3.5,2.3,1.7
1.7,1.8,1.4
1.4,1.6,1.2
1.2,1.5,1.3
1.3,1.6,2.9
2.9,2.1,2.1
2.1,2,11.2
11.2,2.8,20.8
20.8,4.5,21.7
21.7,6.1,9.5
9.5,4.5,3.6
3.6,2.8,16.3
16.3,2.4,2.7
2.7,2,3.2
3.2,2.2,58.9
58.9,4.3,4.1
4.1,2.2,2.3
2.3,1.9,5.6
5.6,2.2,15.1
15.1,2.4,3.7
3.7,2.4,2.8
2.8,2.2,2.4
2.4,2,32.1
32.1,5.8,21
21,5.3,4.1
4.1,2.7,2.6
2.6,2.2,2.3
2.3,2,2
2,1.8,1.8
1.8,1.7,1.7
1.7,1.5,1.7
1.7,1.5,2.4
2.4,1.7,2.3
2.3,1.4,2.1
2.1,1.4,1.8
1.8,1.4,1.6
1.6,1.3,1.5
1.5,1.3,1.6
1.6,1.3,1.7
1.7,1.4,1.3
1.3,1.2,1.3
1.3,1.3,1.3
1.3,1.1,1.3
1.3,1.3,1.2
1.2,1.1,1.1
1.1,1.1,1.1
1.1,1.1,1.1
1.1,1.2,1.7
1.7,1.4,2.9
2.9,1.7,10.1
10.1,3.2,2.9
2.9,1.9,1.3
1.3,1.5,1.5
1.5,1.6,1.3
1.3,1.4,1.1
1.1,1.2,1
1,1.1,1.2
1.2,1.2,1.2
1.2,1.2,3.6
3.6,1.9,5.4
5.4,2.2,2.6
2.6,1.8,1.6
1.6,1.4,3.9
3.9,2.2,5.9
5.9,1.8,2.1
2.1,1.6,1.2
1.2,1.2,5
5,2.2,2.6
2.6,1.6,1.3
1.3,1.2,1.3
1.3,1.3,1.3
1.3,1.3,13.6
13.6,3.7,2.8
2.8,1.8,1.4
1.4,1.4,1.1
1.1,1.2,1.2
1.2,1.2,1.1
1.1,1.2,1
1,1.2,0.9
0.9,1.1,0.9
0.9,1.1,0.9
0.9,1,0.8
0.8,0.9,0.8
0.8,0.9,0.8
0.8,0.9,0.8
0.8,0.9,0.7
0.7,0.8,0.7
0.7,0.8,1.4
1.4,1.2,0.8
0.8,0.9,0.7
0.7,0.9,0.7
0.7,0.8,0.6
0.6,0.7,0.6
0.6,0.7,0.5
0.5,0.7,0.6
0.6,0.6,0.5
0.5,0.6,0.5
0.5,0.7,0.4
0.4,0.6,0.4
0.4,0.6,0.4
0.4,0.6,0.4
0.4,0.6,0.4
0.4,0.6,1.9
1.9,1.3,0.9
0.9,0.9,0.6
0.6,0.8,0.5
0.5,0.8,0.5
0.5,0.7,0.5
0.5,0.7,0.5
0.5,0.7,0.4
0.4,0.6,0.5
0.5,0.7,0.6
0.6,0.6,0.5
0.5,0.5,0.6
0.6,0.7,2.9
2.9,1.7,8.7
8.7,3.4,4.6
4.6,2.6,1.4
1.4,1.3,0.7
0.7,1,0.6
0.6,0.9,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.5
0.5,0.8,0.6
0.6,0.8,0.6
0.6,0.9,0.6
0.6,1,0.8
0.8,1.1,0.4
0.4,0.9,0.7
0.7,1.3,0.8
0.8,1.3,0.5
0.5,1.1,0.4
0.4,1,0.4
0.4,1,0.5
0.5,1,0.4
0.4,1,0.6
0.6,1,0.7
0.7,1,0.6
0.6,1,0.4
0.4,0.8,0.3
0.3,0.8,0.3
0.3,0.8,0.6
0.6,1,1.3
1.3,1.5,3.7
3.7,2.3,1.5
1.5,1.7,0.9
0.9,1.5,0.8
0.8,1.5,1.5
1.5,2,1.3
1.3,1.8,0.6
0.6,1.4,0.6
0.6,1.2,0.5
0.5,1.3,0.4
0.4,1.2,0.4
0.4,1.1,0.4
0.4,1.2,0.4
0.4,1.3,0.5
0.5,1.4,0.4
0.4,1.2,0.5
0.5,1.3,0.5
0.5,1.4,0.4
0.4,1.3,0.4
0.4,1.3,0.4
0.4,1.4,0.7
0.7,1.7,1.4
1.4,2.1,2.4
2.4,2.1,0.9
0.9,1.5,0.5
0.5,1.3,0.4
0.4,1.3,5.5
5.5,3.2,15.4
15.4,4.6,10.4
10.4,4.4,21.4
21.4,6.4,12.5
12.5,5.9,4.1
4.1,3.1,1.8
1.8,2.4,1.4
1.4,2.1,1.1
1.1,1.9,1
1,1.8,0.9
0.9,1.7,0.8
0.8,1.7,0.6
0.6,1.6,0.6
0.6,1.6,0.5
0.5,1.5,0.5
0.5,1.4,0.5
0.5,1.5,0.5
0.5,1.4,0.4
0.4,1.2,0.4
0.4,1.2,0.4
0.4,1.2,0.3
0.3,1,0.3
0.3,1.1,0.3
0.3,1.2,0.4
0.4,1.2,0.4
0.4,1.4,0.8
0.8,1.7,1.2
1.2,2,2.4
2.4,2.4,1.1
1.1,2,0.7
0.7,1.8,0.5
0.5,1.6,0.5
0.5,1.5,0.4
0.4,1.5,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.3,0.4
0.4,1.5,0.7
0.7,1.8,1.2
1.2,2.3,1.7
1.7,2.5,1
1,2.1,0.8
0.8,1.9,0.6
0.6,1.7,0.5
0.5,1.4,0.4
0.4,1.4,0.4
0.4,1.5,0.4
0.4,1.4,0.3
0.3,1.4,0.4
0.4,1.4,0.4
0.4,1.5,0.4
0.4,1.9,0.4
0.4,1.5,0.4
0.4,1.5,0.3
0.3,1.4,0.3
0.3,1.4,0.4
0.4,1.5,0.5
0.5,1.7,0.5
0.5,1.6,0.4
0.4,1.6,0.4
0.4,1.5,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,2.1,0.3
0.3,1.8,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.4,0.3
0.3,1.3,0.2
0.2,1.3,0.2
0.2,1.3,0.2
0.2,1.3,0.2
0.2,1.2,0.3
0.3,1.3,0.3
0.3,1.2,0.5
0.5,1.4,0.5
0.5,1.4,0.5
0.5,1.4,0.5
0.5,1.5,0.6
0.6,1.6,1.2
1.2,2.2,1.1
1.1,2,0.7
0.7,1.7,0.6
0.6,1.5,0.6
0.6,1.4,0.5
0.5,1.4,0.5
0.5,1.3,0.4
0.4,1.3,0.3
0.3,1.1,0.6
0.6,0.9,0.5
0.5,0.9,0.5
0.5,1,5
5,1.4,15.5
15.5,1.9,17.4
17.4,2,28.9
28.9,3.1,225.8
225.8,13.1,77.8
77.8,14.2,58.3
58.3,16.8,20.7
20.7,9.3,7.1
7.1,5.2,4.3
4.3,3.7,2.5
2.5,3.2,2.4
2.4,3.1,3
3,3.7,3.8
3.8,4.2,2.7
2.7,3.5,1.6
1.6,2.8,1.3
1.3,2.5,2.9
2.9,3.4,5.2
5.2,4.6,2.5
2.5,3.6,7.6
7.6,5.1,8.7
8.7,5.1,3.2
3.2,3.5,1.8
1.8,3,1.4
1.4,2.7,1.5
1.5,2.7,1.3
1.3,2.5,1.1
1.1,2.3,1
1,2.2,6.4
6.4,3.8,55
55,10.5,12.4
12.4,6.9,4.4
4.4,4.2,4.2
4.2,4.1,3.9
3.9,4,3
3,3.4,2.6
2.6,3,2.2
2.2,2.7,2
2,2.4,1.7
1.7,2.3,1.6
1.6,2.1,1.7
1.7,2.1,1.6
1.6,2,1.6
1.6,1.9,1.7
1.7,2,1.6
1.6,1.8,1.5
1.5,1.8,1.6
1.6,1.8,1.5
1.5,1.7,1.4
1.4,1.7,1.3
1.3,1.6,1.3
1.3,1.5,1.2
1.2,1.5,1.1
1.1,1.4,1.1
1.1,1.4,1.1
1.1,1.4,1.2
1.2,1.4,1.1
1.1,1.4,1.1
1.1,1.4,1.2
1.2,1.5,1.3
1.3,1.5,1.2
1.2,1.4,1.1
1.1,1.4,1.1
1.1,1.3,1.3
1.3,1.5,1.2
1.2,1.5,1.1
1.1,1.3,1
1,1.3,1.6
1.6,1.7,1.4
1.4,1.6,1.2
1.2,1.4,1.1
1.1,1.4,1
1,1.2,0.9
0.9,1.2,1.5
1.5,1.7,1.4
1.4,1.6,1.6
1.6,1.8,1.7
1.7,1.8,1.2
1.2,1.4,1.1
1.1,1.3,1
1,1.2,1
1,1.2,1
1,1.2,0.9
0.9,1.1,1
1,1.2,1.1
1.1,1.3,1.5
1.5,1.6,1.9
1.9,2,1.1
1.1,1.3,0.9
0.9,1.1,0.9
0.9,1,0.8
0.8,1,2.8
2.8,2.5,1.2
1.2,1.3,1
1,1.1,0.9
0.9,1.1,0.8
0.8,0.9,0.7
0.7,0.9,0.8
0.8,0.9,0.7
0.7,0.9,0.7
0.7,0.8,0.6
0.6,0.8,0.7
0.7,0.8,0.8
0.8,1,0.6
0.6,0.8,0.6
0.6,0.7,0.7
0.7,0.9,5.5
5.5,3.6,1.7
1.7,1.7,1.3
1.3,1.4,1.7
1.7,1.7,1
1,1.1,0.8
0.8,1,1.5
