SSL(t-1),q(t-1),SSL(t)
0.8,1.5,67.8
67.8,7,14.8
14.8,5,4
4,3.2,1.6
1.6,2.1,1.1
1.1,1.8,0.9
0.9,1.6,0.8
0.8,1.4,0.8
0.8,1.4,0.8
0.8,1.5,0.8
0.8,1.4,0.9
0.9,1.6,0.9
0.9,1.6,0.8
0.8,1.5,0.8
0.8,1.4,0.6
0.6,1.3,1.3
1.3,1.8,1.7
1.7,1.7,0.8
0.8,1.5,1.2
1.2,1.9,1.1
1.1,1.7,0.9
0.9,1.5,1
1,1.6,0.7
0.7,1.2,0.3
0.3,1.1,0.3
0.3,1.1,2.7
2.7,1.6,3.6
3.6,1.7,0.8
0.8,1.2,0.4
0.4,1.1,0.3
0.3,1.1,183.7
183.7,8.2,24.9
24.9,4.6,2.5
2.5,1.9,1.4
1.4,1.7,1.3
1.3,1.5,1.2
1.2,1.5,1.5
1.5,1.4,0.9
0.9,1.2,1
1,1.2,1.1
1.1,1.4,0.9
0.9,1.2,0.8
0.8,1,0.7
0.7,1,0.6
0.6,0.9,0.6
0.6,0.9,0.6
0.6,0.9,0.5
0.5,0.9,1.9
1.9,1.8,1
1,1.2,0.6
0.6,1.1,0.6
0.6,1.2,0.7
0.7,1.2,0.6
0.6,1.2,0.5
0.5,1.1,3.2
3.2,2.3,0.9
0.9,1.3,0.6
0.6,1.3,0.4
0.4,1.1,0.5
0.5,1.1,0.5
0.5,1.1,7.7
7.7,3.5,8.8
8.8,3.1,1.4
1.4,1.8,0.6
0.6,1.4,0.5
0.5,1.3,0.5
0.5,1.2,0.5
0.5,1.2,0.5
0.5,1.1,0.5
0.5,1.2,0.5
0.5,1.1,0.5
0.5,1.1,0.5
0.5,1,0.5
0.5,1.1,0.4
0.4,1.1,0.4
0.4,1.1,0.3
0.3,1.1,0.3
0.3,1.1,0.4
0.4,1,0.4
0.4,1,0.8
0.8,1.5,1.7
1.7,2.1,1.3
1.3,1.9,1.5
1.5,1.7,0.9
0.9,1.6,38.7
38.7,5,85.5
85.5,9.4,5.3
5.3,3.6,2.5
2.5,2.4,1.3
1.3,2,0.7
0.7,1.7,0.5
0.5,1.5,0.8
0.8,1.8,0.7
0.7,1.6,0.6
0.6,1.4,0.5
0.5,1.3,0.4
0.4,1.2,0.4
0.4,1.3,0.8
0.8,1.4,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.4
0.4,1.4,0.4
0.4,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.3
0.3,1.3,0.4
0.4,1.3,0.4
0.4,1.4,0.4
0.4,1.4,0.4
0.4,1.3,0.4
0.4,1.3,0.6
0.6,1.3,0.7
0.7,1.3,0.8
0.8,1.4,0.8
0.8,1.4,0.8
0.8,1.4,0.8
0.8,1.4,0.9
0.9,1.4,0.8
0.8,1.3,0.7
0.7,1.3,0.6
0.6,1.3,0.3
0.3,1.3,0.2
0.2,1.4,0.2
0.2,1.4,0.2
0.2,1.4,0.2
0.2,1.3,0.2
0.2,1.2,0.2
0.2,1.2,0.2
0.2,1.3,0.2
0.2,1.3,0.2
0.2,1.3,0.2
0.2,1.2,0.2
0.2,1.2,0.3
0.3,1.2,0.2
0.2,1.2,0.4
0.4,1.4,9.6
9.6,3.3,232.9
232.9,14.2,13.8
13.8,5.6,6.8
6.8,4.3,8.3
8.3,5,37.6
37.6,8,20.6
20.6,8.3,4
4,4.2,2.2
2.2,3.4,2.6
2.6,3.6,3.5
3.5,3.8,9.7
9.7,5.2,90.7
90.7,10.5,107.2
107.2,20,9.5
9.5,7.3,4.5
4.5,5.3,3
3,4.3,2.5
2.5,3.9,2.2
2.2,3.7,5.2
5.2,4.9,25
25,9.4,14.1
14.1,8.2,4.8
4.8,5.8,4.4
4.4,5.8,3.8
3.8,5.4,3.3
3.3,5.1,3.6
3.6,5.1,3.7
3.7,4.6,15.6
15.6,6.7,32.4
32.4,11.8,15.3
15.3,9.4,12.4
12.4,8.1,178.6
178.6,20.3,55.1
55.1,17.6,10.1
10.1,8,9.6
9.6,7.9,10
10,7.8,11.7
11.7,9.1,13.2
13.2,7.3,11
11,7.4,12.1
12.1,8.6,5.8
5.8,6.7,3.8
3.8,5.6,3.1
3.1,5.1,2.6
2.6,4.7,2.4
2.4,4.4,105.6
105.6,8.6,112.9
112.9,25.5,18.8
18.8,10,76.7
76.7,17.3,47.6
47.6,17.1,22.6
22.6,11.1,9.1
9.1,8.5,5.5
5.5,7.2,5
5,6.1,3.9
3.9,5.5,3
3,5.1,2.7
2.7,4.8,2.5
2.5,4.4,15.2
15.2,4.1,14.4
14.4,3.8,2.7
2.7,3.5,1.2
1.2,3.3,1.1
1.1,3.2,1.1
1.1,3,1
1,2.9,1
1,2.8,1
1,2.7,1
1,2.6,1
1,2.5,0.9
0.9,2.4,0.8
0.8,2.3,0.9
0.9,2.2,1.1
1.1,2.2,1.4
1.4,2.2,1.5
1.5,2.2,2.5
2.5,2.5,46.2
46.2,7.9,8.1
8.1,4.1,2
2,2.5,2.2
2.2,2.5,3.2
3.2,2.6,13
13,4.6,19.8
19.8,6.9,5.9
5.9,4.5,2.8
2.8,3.5,1.8
1.8,3.1,3.2
3.2,4.1,5.3
5.3,5,4.5
4.5,4.9,3
3,4.2,2.1
2.1,3.7,1.7
1.7,3.3,1.5
1.5,3,1.5
1.5,2.9,1.4
1.4,3.1,1.4
1.4,2.9,1.2
1.2,2.7,1.2
1.2,2.9,1.3
1.3,3.3,1.5
1.5,3.5,1.3
1.3,3.3,1.2
1.2,3.1,1.2
1.2,3,1.3
1.3,3.2,1.3
1.3,3.2,1.4
1.4,3.4,1.2
1.2,2.9,1.1
1.1,2.7,2
2,2.6,1.1
1.1,2.5,0.9
0.9,2.3,0.8
0.8,2.4,0.9
0.9,2.3,0.6
0.6,2.3,0.6
0.6,2.2,0.6
0.6,2.1,0.6
0.6,2.1,0.6
0.6,2.2,0.6
0.6,2,0.5
0.5,1.9,0.5
0.5,1.9,0.5
0.5,1.9,0.5
0.5,1.8,0.5
0.5,1.9,0.5
0.5,2,0.5
0.5,1.9,0.5
0.5,2,0.4
0.4,2,0.6
0.6,2.2,2
2,3.2,1.2
1.2,2.3,0.6
0.6,2.1,0.5
0.5,2,0.5
0.5,2,0.4
0.4,1.9,0.5
0.5,1.9,0.4
0.4,1.9,2.6
2.6,3,1.6
1.6,2.6,3.6
3.6,4,1.7
1.7,2.9,0.9
0.9,2.6,0.8
0.8,2.5,0.6
0.6,2.2,0.5
0.5,2,0.5
0.5,1.9,0.5
0.5,1.8,0.4
0.4,1.7,0.9
0.9,1.9,0.5
0.5,1.7,2.2
2.2,2.8,7
7,2.2,1.1
1.1,2,1.4
1.4,2.5,1.5
1.5,2.5,1
1,2.1,0.8
0.8,1.9,0.8
0.8,1.8,0.8
0.8,1.7,1.7
1.7,2.5,1.1
1.1,1.9,0.7
0.7,1.7,0.7
0.7,1.7,0.9
0.9,2,0.7
0.7,1.7,0.6
0.6,1.6,0.6
0.6,1.6,0.6
0.6,1.6,0.6
0.6,1.5,0.6
0.6,1.5,1.2
1.2,1.8,0.6
0.6,1.4,0.4
0.4,1.3,0.4
0.4,1.3,0.5
0.5,1.3,0.5
0.5,1.3,0.5
0.5,1.3,0.5
0.5,1.2,0.6
0.6,1.2,1.2
1.2,1.9,0.8
0.8,1.5,0.7
0.7,1.4,1.4
1.4,2,1.3
1.3,2.1,1.2
1.2,1.8,1
1,1.6,1
1,1.8,0.8
0.8,1.5,0.7
0.7,1.4,0.7
0.7,1.4,0.7
0.7,1.3,0.8
0.8,1.5,1.8
1.8,3.5,1.5
1.5,3,0.9
0.9,1.8,0.7
0.7,1.4,0.6
0.6,1.3,0.6
0.6,1.2,0.5
0.5,1.1,0.5
0.5,1.2,0.5
0.5,1.1,0.5
0.5,1,0.4
0.4,1,0.6
0.6,1.1,0.6
0.6,1,0.6
0.6,1,0.6
0.6,1,0.6
0.6,1,0.6
0.6,0.9,7
7,2.7,2
2,1.7,1.6
1.6,1.9,0.8
0.8,1.4,2
2,1.8,2.3
2.3,1.8,0.9
0.9,1.3,0.4
0.4,1.1,0.4
0.4,1.1,0.3
0.3,1,0.3
0.3,0.9,0.3
0.3,1,0.5
0.5,1.2,1.8
1.8,2,1
1,1.5,1.1
1.1,1.7,0.9
0.9,1.6,2.8
2.8,2.6,1.3
1.3,1.5,0.5
0.5,1.2,1.5
1.5,1.7,1.4
1.4,1.5,0.5
0.5,1.1,0.4
0.4,1,0.4
0.4,0.9,0.3
0.3,0.9,0.3
0.3,0.8,0.3
0.3,0.8,0.3
0.3,0.9,0.3
0.3,1,0.3
0.3,0.9,0.2
0.2,0.8,0.3
0.3,0.8,0.2
0.2,0.7,0.2
0.2,0.7,0.2
0.2,0.7,0.2
0.2,0.7,0.3
0.3,0.8,0.2
0.2,0.7,0.2
0.2,0.7,0.2
0.2,0.7,0.1
0.1,0.7,0.1
0.1,0.6,0.1
0.1,0.6,0.1
0.1,0.7,0.1
0.1,0.6,0.2
0.2,0.7,0.2
0.2,0.8,0.2
0.2,0.6,0.1
0.1,0.6,0.2
0.2,0.5,0.1
0.1,0.5,0.3
0.3,0.8,0.2
0.2,0.7,0.2
0.2,0.7,0.1
0.1,0.7,0.1
0.1,0.6,0.1
0.1,0.7,0.1
0.1,0.6,0.1
0.1,0.5,7.5
7.5,1.1,38.1
38.1,2.2,1.4
1.4,1.2,0.6
0.6,0.9,0.4
0.4,0.8,0.3
0.3,0.8,0.3
0.3,0.7,0.2
0.2,0.6,0.2
0.2,0.5,0.2
0.2,0.5,0.2
0.2,0.6,0.2
0.2,0.6,0.4
0.4,0.7,3.2
3.2,2,0.8
0.8,1,0.3
0.3,0.7,0.2
0.2,0.6,0.2
0.2,0.6,0.2
0.2,0.6,0.2
0.2,0.6,0.4
0.4,1,0.2
0.2,0.7,0.2
0.2,0.7,0.2
0.2,0.8,0.2
0.2,0.7,0.2
0.2,0.7,0.6
0.6,0.9,0.4
0.4,0.7,1.5
1.5,1.4,1.2
1.2,1.5,0.5
0.5,1,0.4
0.4,0.9,0.3
0.3,0.8,0.3
0.3,0.7,0.2
0.2,0.7,0.4
0.4,0.9,1.1
1.1,1.3,0.4
0.4,0.9,12
12,3.6,3.9
3.9,2.1,0.7
0.7,1.2,0.4
0.4,1.2,0.3
0.3,1.1,0.4
0.4,1.3,1.2
1.2,1.7,0.5
0.5,1.3,0.3
0.3,1.1,0.2
0.2,0.9,0.2
0.2,0.9,0.2
0.2,0.8,0.5
0.5,1,0.4
0.4,0.9,0.2
0.2,0.8,0.2
0.2,0.7,0.4
0.4,0.7,0.5
0.5,0.8,0.2
0.2,0.8,0.4
0.4,0.9,0.7
