"[,1]",
ME,-0.01
MAE,2.26
MSE,207.83
RMSE,14.42
NRMSE,40.20%
PBIAS,-0.10%
RSR,0.4
rSD,0.88
NSE,0.84
mNSE,0.76
rNSE,-0.02
d,0.95
md,0.88
rd,0.7
cp,0.91
r,0.92
R2,0.84
bR2,0.68
KGE,0.86
VE,0.67
