S(t-1),S(t)
0.7,0.6
0.6,0.3
0.3,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.3
0.3,0.2
0.2,0.4
0.4,9.6
9.6,232.9
232.9,13.8
13.8,6.8
6.8,8.3
8.3,37.6
37.6,20.6
20.6,4.0
4.0,2.2
2.2,2.6
2.6,3.5
3.5,9.7
9.7,90.7
90.7,107.2
107.2,9.5
9.5,4.5
4.5,3.0
3.0,2.5
2.5,2.2
2.2,5.2
5.2,25.0
25.0,14.1
14.1,4.8
4.8,4.4
4.4,3.8
3.8,3.3
3.3,3.6
3.6,3.7
3.7,15.6
15.6,32.4
32.4,15.3
15.3,12.4
12.4,178.6
178.6,55.1
55.1,10.1
10.1,9.6
9.6,10.0
10.0,11.7
11.7,13.2
13.2,11.0
11.0,12.1
12.1,5.8
5.8,3.8
3.8,3.1
3.1,2.6
2.6,2.4
2.4,105.6
105.6,112.9
112.9,18.8
18.8,76.7
76.7,47.6
47.6,22.6
22.6,9.1
9.1,5.5
5.5,5.0
5.0,3.9
3.9,3.0
3.0,2.7
2.7,2.5
2.5,15.2
15.2,14.4
14.4,2.7
2.7,1.2
1.2,1.1
1.1,1.1
1.1,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9
0.9,0.8
0.8,0.9
0.9,1.1
1.1,1.4
1.4,1.5
1.5,2.5
2.5,46.2
46.2,8.1
8.1,2.0
2.0,2.2
2.2,3.2
3.2,13.0
13.0,19.8
19.8,5.9
5.9,2.8
2.8,1.8
1.8,3.2
3.2,5.3
5.3,4.5
4.5,3.0
3.0,2.1
2.1,1.7
1.7,1.5
1.5,1.5
1.5,1.4
1.4,1.4
1.4,1.2
1.2,1.2
1.2,1.3
1.3,1.5
1.5,1.3
1.3,1.2
1.2,1.2
1.2,1.3
1.3,1.3
1.3,1.4
1.4,1.2
1.2,1.1
1.1,2.0
2.0,1.1
1.1,0.9
0.9,0.8
0.8,0.9
0.9,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.6
0.6,2.0
2.0,1.2
1.2,0.6
0.6,0.5
0.5,0.5
0.5,0.4
0.4,0.5
0.5,0.4
0.4,2.6
2.6,1.6
1.6,3.6
3.6,1.7
1.7,0.9
0.9,0.8
0.8,0.6
0.6,0.5
0.5,0.5
0.5,0.5
0.5,0.4
0.4,0.9
0.9,0.5
0.5,2.2
2.2,7.0
7.0,1.1
1.1,1.4
1.4,1.5
1.5,1.0
1.0,0.8
0.8,0.8
0.8,0.8
0.8,1.7
1.7,1.1
1.1,0.7
0.7,0.7
0.7,0.9
0.9,0.7
0.7,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,0.6
0.6,1.2
1.2,0.6
0.6,0.4
0.4,0.4
0.4,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.6
0.6,1.2
1.2,0.8
0.8,0.7
0.7,1.4
1.4,1.3
1.3,1.2
1.2,1.0
1.0,1.0
1.0,0.8
0.8,0.7
0.7,0.7
0.7,0.7
0.7,0.8
0.8,1.8
1.8,1.5
1.5,0.9
0.9,0.7
0.7,0.6
0.6,0.6
0.6,0.5
