Actual Train,Predicted Train
1.7,1.816465322
0.9,0.794651083
1.6,1.636589308
1.2,1.195456914
1.4,1.301545627
0.7,0.696375767
1.3,1.290721744
2.3,2.285871792
10.8,8.951238715
3.2,2.840123589
1.5,1.442517864
6.8,8.202660328
5.9,5.351830156
1.3,1.308124805
0.7,0.772711759
1.4,1.202637428
3.8,3.712197987
3.2,2.800261883
2.6,2.654194237
1.9,1.897432413
1.3,1.293241748
2.3,2.350211042
1.4,1.254601632
1.1,1.084876982
3.7,4.459302375
3.3,2.535346159
7.9,7.226223415
5.5,3.484289812
1,0.892815625
0.8,0.73595373
2,1.769308357
2.1,2.058216696
2.5,2.667896762
2.3,2.393189682
7.7,8.305620122
1.6,1.630929135
1.7,1.452576495
5.8,5.79132595
1,1.018237886
0.6,0.686825514
1.5,1.513999241
1.4,1.37461059
1.4,1.459192615
2.2,2.126300308
1.3,1.240076195
8.1,7.449039553
9.1,8.298339288
1.6,1.5555891
1.6,1.536022964
4.7,4.41291023
0.7,0.739322924
1.4,1.334089653
1.9,1.851763789
3,3.131056149
1.3,1.269534594
1.9,1.943036613
1.4,1.380515803
1.5,1.499851125
3.9,3.466955791
0.8,0.885901186
7.1,7.215186372
1.7,1.838748769
0.7,0.728827371
0.8,0.900198951
5.4,5.499542079
0.8,0.707125288
0.8,0.978666875
1.5,1.449592006
3.3,3.445883133
3.7,3.127128432
2.7,1.826790923
0.7,0.709826408
3.5,6.904149454
0.6,0.67211145
1.5,1.55101477
1.5,1.322764825
2.4,2.032892957
0.8,0.727947409
9.3,8.990586493
4.1,4.89724393
11.7,10.42643967
8.1,8.006458634
1.7,1.592215857
0.5,0.708122026
1.5,1.726291629
1.2,1.311289363
2.7,1.607963874
3.7,9.590605633
2.3,2.254158764
1.4,1.544104321
2.1,2.689366707
1.9,2.019693518
2.4,2.456003673
0.9,1.064073144
2.8,2.318600915
1.4,1.376317115
6.1,6.118184945
1.3,1.465351767
0.5,0.703824783
4.4,4.223130266
0.6,0.67493801
1.5,1.546202947
1.5,1.428176857
2,1.53748037
4.3,2.902386165
6,4.962626949
3.2,3.251185542
1.7,1.630230859
1.4,1.613110851
2.1,2.135274022
1.4,1.340115793
0.8,0.827413496
2.6,2.615534372
1.4,1.194592935
2.6,2.617865251
6.7,5.637659513
11.3,11.40008264
0.9,0.922198138
1.1,1.238940887
7.1,7.271168777
0.8,0.868634646
1.8,1.998209171
1.3,1.286477258
4.1,4.47944369
1.2,1.104984566
8.5,8.444489226
2.7,2.460148262
3.5,3.914893306
1.2,1.200597978
1.2,1.151520079
0.6,0.616081969
1.3,1.199240029
1,1.01570379
2.9,2.657333089
4,3.781480467
1.4,1.194692108
2.6,2.634881933
7.2,6.482025733
0.8,0.814719022
1.2,1.265253879
3.4,2.941586117
1.8,1.844487938
1.1,0.84388362
1.5,1.538123956
2.3,2.326069296
1.5,1.580929732
2.4,2.123708228
1.7,1.244273604
1.6,1.371405471
1.9,1.389569799
1.6,1.546309277
2.7,1.660890721
1.4,1.319197474
9.4,9.500148232
3,3.399571016
6.4,6.374562182
0.9,0.701435738
1.5,1.37857506
1.6,2.955491321
3.1,3.236061808
1.9,1.659192024
1.4,1.341820768
1.9,1.969144886
3.7,2.740970925
0.7,0.809011516
1.5,1.562545555
0.9,0.884262202
1.8,1.809756553
3.2,2.223462095
3,3.084770534
6.1,5.298105609
2.4,4.506389749
11.5,11.58064342
1.6,1.51538926
4.4,3.532309612
3.3,3.268418616
1.4,1.36246982
3.9,5.080983822
0.9,1.109578741
1.1,1.130297899
3.7,3.577809269
1.3,1.360499993
22.5,9.51334002
0.8,0.814151023
3.6,3.611231174
2.6,2.746247469
1.3,1.284306498
1.6,1.656720837
0.5,0.609704646
18.9,9.513313422
1.4,1.353082659
0.7,0.617648929
3.2,3.310235958
5.2,4.976996363
2.2,2.235098443
1.9,1.924624489
2.3,2.345908081
4,4.404290873
3.6,2.883213132
0.5,0.595372351
27.6,9.513313422
2.3,2.032758217
1.1,1.105226488
1.4,1.390591032
2.5,2.485399373
3.5,3.565370198
1.3,1.27648534
1.6,1.321417862
10.5,9.531420211
1.3,1.718963302
5.8,5.413624748
3.5,4.114693861
2.1,2.28798461
1.6,1.551620797
1.4,1.37749753
0.8,0.943703412
11,10.90028977
0.6,0.664426414
1.3,1.38411658
5.1,5.426040897
3.4,3.391105639
10.9,10.80028436
0.7,0.908080332
2.4,2.218883827
1.5,1.547393024
4.3,5.976143422
0.5,0.594612915
4.4,3.678517268
9.3,8.931979823
1.1,1.186421572
2.6,2.700124041
1.2,1.167973368
2.3,2.292984734
4,3.717956145
1.3,1.338463046
2,1.902119304
1.9,1.869852702
3.1,2.992733308
2.7,2.678221821
2.1,2.136568446
1.9,1.871965632
5.2,5.021958469
1.8,1.535960137
1.7,1.733917294
2,1.929543938
1.1,1.010375714
1.8,1.748812542
1.8,5.296103894
2.1,1.729552562
1.7,1.727697749
1.6,1.653847952
1.1,1.063092455
1.3,1.415782432
0.7,0.812845125
1.1,1.330299925
5.4,5.741936017
1.4,1.436771739
1,1.295622422
10.7,6.539677201
1.3,1.172955605
6.2,5.694617431
1.4,1.347735987
1.9,1.829889657
1.2,1.193617121
1.1,1.181422318
1.6,1.582251701
0.7,0.771781301
1.2,1.106506624
2.7,2.269282903
6.8,6.063565078
4.1,3.986566838
1.3,1.208419315
3.1,3.227229363
4.5,4.536834483
2,1.766424821
0.9,1.006508083
0.9,0.95539473
1.2,1.313245781
0.7,0.735431721
1,1.071529322
1.4,1.342066381
2.7,6.079608716
1.9,0.941479295
2.6,2.686663257
1.5,7.513313422
2.5,2.458120457
0.8,0.748323585
4.5,4.678553636
3.8,4.087159341
11.9,10.95374753
3.9,3.022526483
1.5,1.552290101
6,4.725785219
2.2,2.200467919
2.3,2.311288901
4.8,5.77174779
0.8,0.827711496
0.8,0.850777118
3.5,3.380264798
1.2,1.174809413
0.8,0.839840855
36.7,11.89872376
2.4,2.273905223
3,3.030454638
2.5,2.563577057
1.5,1.396428127
1.3,1.264320277
0.8,0.840341712
5.5,5.2570048
1.1,1.201664663
1.4,2.427157381
2.5,2.250626102
1.6,1.661554509
1.2,1.264592862
1.3,1.258349599
5.1,5.064517718
0.7,0.834805159
1.7,1.947874358
0.9,0.918228069
1.2,1.288760731
1.3,1.315279388
0.5,0.59270745
1.6,1.582048978
1.5,1.617571343
1.9,1.860613378
1,1.046275385
7.3,11.79456737
1.3,1.274450778
2.3,2.257015141
1.6,1.395697076
4.8,5.001062935
2.7,1.085751151
1.4,1.319156384
2.3,2.245397236
1.1,1.191840155
13.4,12.23280178
2.4,2.367528557
0.6,0.735778406
0.6,0.746278971
2,1.321615283
1.6,1.359573828
1.3,1.286365782
2,1.934824549
3.6,2.833005768
2.5,2.020797739
0.8,0.848271759
0.6,0.767211204
1,1.068194701
1.5,1.4642227
10,8.779439216
2.2,1.959878382
6.3,6.475487857
0.6,0.690839308
9.3,8.123011907
1.4,1.294714743
2.1,1.848538927
1.8,1.825703439
0.9,1.030308948
2.2,1.742764078
2.8,2.776432163
0.9,1.035930772
3.5,2.669340553
8.9,8.692898236
8.5,8.559898025
6.8,6.947469889
1.9,2.0195664
2.6,3.258960176
4.6,4.565821854
0.9,0.900661487
1.7,1.788610426
0.7,0.704603198
0.7,0.744498939
6.8,6.779204013
2,1.727770714
1.6,1.649670427
1.8,2.02985848
2,2.005593668
1.6,1.723900707
0.7,0.746278971
0.9,1.107834747
8.6,7.569491974
3.2,3.197736382
3.4,5.530444853
0.7,0.689372874
0.9,0.90634489
6.9,6.762631566
2.2,2.147890589
5.2,4.911011033
1,1.091457241
2.3,2.350483005
2.2,2.406679794
3.8,3.700315212
2.6,2.261736672
