Actual Train,Predicted Train
1.7,1.9703356
0.9,0.7915388
1.6,1.6740404
1.2,1.2107474
1.4,1.4315588
0.7,0.64381194
1.3,1.2684089
2.3,2.2648163
10.8,10.602231
3.2,3.1329618
1.5,1.5832654
6.8,6.847004
5.9,5.8498645
1.3,1.3555849
0.7,0.65611994
1.4,1.3532395
3.8,3.7726486
3.2,3.1324277
2.6,2.6032817
1.9,1.9146285
1.3,1.2916676
2.3,2.322908
1.4,1.3257601
1.1,1.0919644
3.7,3.640351
3.3,3.199267
7.9,7.8891373
5.5,5.181472
1,0.8702329
0.8,0.64772105
2,1.9102029
2.1,2.0855062
2.5,2.5193717
2.3,2.3293965
7.7,7.693462
1.6,1.4424796
1.7,1.5495766
5.8,5.8679523
1,0.9756223
0.6,0.5888499
1.5,1.4281147
1.4,1.401169
1.4,1.4208006
2.2,2.178305
1.3,1.1810801
8.1,8.118934
9.1,9.043838
1.6,1.5698003
1.6,1.5611092
4.7,4.7533846
0.7,0.6793218
1.4,1.29936
1.9,1.865714
3,2.9620385
1.3,1.3118926
1.9,1.9457358
1.4,1.4534934
1.5,1.5101635
3.9,3.8482022
0.8,0.8222544
7.1,7.1492996
1.7,1.7196873
0.7,0.6462351
0.8,0.78888917
5.4,5.4518394
0.8,0.81390816
0.8,0.85013586
1.5,1.4236444
3.3,3.3339398
3.7,3.6823964
2.7,2.5625737
0.7,0.74989283
3.5,3.6978343
0.6,0.5909852
1.5,1.5367079
1.5,1.4070979
2.4,2.5716696
0.8,0.6802038
9.3,9.395887
4.1,4.197146
11.7,11.653191
8.1,8.076747
1.7,1.646584
0.5,0.54441017
1.5,1.6108409
1.2,1.3660347
2.7,2.727654
3.7,3.7060425
2.3,2.2934184
1.4,1.5260952
2.1,2.0770547
1.9,1.8250573
2.4,2.5386932
0.9,0.91298175
2.8,2.7360854
1.4,1.3261608
6.1,6.1273518
1.3,1.4383305
0.5,0.5718088
4.4,4.41731
0.6,0.623893
1.5,1.4971673
1.5,1.4923697
2,1.8937178
4.3,4.3626714
6,5.82664
3.2,3.280362
1.7,1.7020379
1.4,1.5778506
2.1,2.1189516
1.4,1.5422997
0.8,0.7966431
2.6,2.680685
1.4,1.3925341
2.6,2.620354
6.7,6.788108
11.3,11.326535
0.9,0.92578495
1.1,1.0200577
7.1,7.120868
0.8,0.8448307
1.8,2.0272698
1.3,1.301378
4.1,4.199167
1.2,1.169671
8.5,8.460484
2.7,2.5517535
3.5,3.6459477
1.2,1.2760319
1.2,1.1912656
0.6,0.6316589
1.3,1.1830931
1,1.0048618
2.9,2.7382278
4,3.8800585
1.4,1.4186313
2.6,2.6873412
7.2,7.2216787
0.8,0.7533628
1.2,1.2917817
3.4,3.1215513
1.8,1.8909409
1.1,0.9375696
1.5,1.5208312
2.3,2.2956078
1.5,1.4445014
2.4,2.390531
1.7,1.7012191
1.6,1.4942375
1.9,1.7455801
1.6,1.4868182
2.7,2.8063343
1.4,1.3664898
9.4,9.424354
3,3.061185
6.4,6.349349
0.9,0.74513537
1.5,1.3901597
1.6,1.6344537
3.1,3.1000173
1.9,1.757183
1.4,1.3331107
1.9,2.0169785
3.7,3.7210956
0.7,0.6702105
1.5,1.4324075
0.9,0.79869586
1.8,1.7674718
3.2,3.2371032
3,3.0914485
6.1,6.0150065
2.4,2.5477989
11.5,11.49799
1.6,1.5502919
4.4,4.207127
3.3,3.362264
1.4,1.3680681
3.9,3.9388623
0.9,0.87747765
1.1,1.0483276
3.7,3.5943468
1.3,1.29987
22.5,22.52687
0.8,0.76315945
3.6,3.6105597
2.6,2.7305796
1.3,1.229318
1.6,1.6703509
0.5,0.5129449
18.9,18.900063
1.4,1.4152062
0.7,0.6168444
3.2,3.2187455
5.2,5.183681
2.2,2.209451
1.9,2.0111973
2.3,2.3445642
4,4.182838
3.6,3.6079538
0.5,0.5019118
27.6,27.595142
2.3,2.4697711
1.1,1.0118989
1.4,1.364703
2.5,2.4330122
3.5,3.5811076
1.3,1.2993281
1.6,1.3825024
10.5,10.494326
1.3,1.406499
5.8,5.6519012
3.5,3.7096703
2.1,2.1093876
1.6,1.6018021
1.4,1.4781021
0.8,0.88650405
11,11.0759
0.6,0.597136
1.3,1.3140713
5.1,5.0294137
3.4,3.2503965
10.9,10.932646
0.7,0.761017
2.4,2.4989007
1.5,1.511719
4.3,4.2304664
0.5,0.50291145
4.4,4.3086095
