Actual Train,Predicted Train
1,0.9660796
0.6,1.2001612
0.7,1.5644406
0.3,0.5927104
0.7,5.555476
0.3,0.980993
0.7,0.9660796
1.2,1.9096506
3,3.591459
1.2,1.6325251
1.2,0.9619784
14.1,22.21171
3,2.8008966
0.5,1.6704875
0.7,2.1617982
0.8,1.066873
0.5,1.88883
1.2,-0.046349008
8.7,5.2024474
0.8,1.452548
2,6.699128
2,6.620449
1.3,1.8251785
1.8,1.4536245
8.3,14.510916
2.7,10.254907
4.5,5.709428
1.9,1.8313402
0.3,0.5927104
0.6,0.9660796
0.7,1.0827695
0.8,1.066873
1.4,1.8457878
1.1,2.2238355
18.3,18.059513
1.5,1.8889953
1,1.1198555
4,15.009683
0.5,1.2005239
0.4,0.7172338
1.7,1.3694179
0.4,0.7172338
0.8,1.808265
4.2,1.6917768
0.6,0.8304344
16.3,18.747242
4.1,3.075542
0.4,0.7172338
0.5,1.0356195
4.5,5.8882732
1,1.066873
1,1.2544651
0.7,1.066873
1.7,1.8630475
0.3,0.980993
0.6,1.0356195
1.7,2.2921784
0.9,1.9096506
8.1,10.0830345
1.1,1.5765063
10.1,12.062902
1.2,1.8251785
0.3,0.5927104
0.6,1.2766585
4.5,4.9908423
0.8,9.190656
0.8,0.9660796
0.4,1.6704875
2.1,1.8457878
5.8,1.1928777
2.4,2.2921784
0.6,1.3162073
4.3,1.3162073
0.6,1.0356195
0.7,1.5644406
0.8,0.78877497
0.9,2.0952704
0.5,4.274687
3.8,15.441568
46.2,23.453974
45.4,5.815199
7.5,10.476439
0.6,1.0356195
0.2,0.31569996
0.4,0.980993
0.5,0.980993
0.4,4.274687
100.9,93.4377
0.2,0.31569996
0.9,1.3108637
12,6.903213
14.3,1.9401449
1,1.4536245
1.6,0.8157882
5,8.231937
0.5,0.77170306
5.4,6.3915024
1.9,1.9138938
0.1,0.31569996
0.6,1.0356195
0.2,0.31569996
0.8,1.3162073
0.8,1.3320124
0.8,4.040838
1.7,1.75938
12.3,9.304872
1.9,3.4419684
1.3,1.7981256
2.4,2.2921784
0.1,0.31569996
1,1.0626305
0.5,1.2005239
1.3,1.4517684
3.7,3.3911583
2.2,1.9001725
2.6,7.173304
19.6,1.8251785
0.4,0.980993
1,1.3633444
0.5,4.274687
0.2,0.5927104
0.6,1.5644406
0.3,0.5927104
3.9,3.5383525
0.9,1.808265
11.3,10.854782
0.8,1.066873
0.8,1.2492855
0.2,0.31569996
0.3,0.5927104
0.4,0.77170306
0.4,0.77170306
0.3,0.7172338
1.2,1.7517444
1.7,1.5914905
0.2,0.4901481
1.1,2.7804902
32.7,32.359077
0.4,0.9660796
0.2,0.31569996
1,1.808265
0.8,1.2005239
0.6,0.77170306
0.6,1.2001612
