Actual Train,Predicted Train
1.6,1.571248299
0.8,0.90714966
1.7,1.669976242
3.4,3.285714286
1.4,1.276732426
0.6,0.611598639
1.6,1.478869674
2.4,2.293272109
5.2,5.305714286
0.8,0.758292517
2,1.957142857
13.4,15.39142857
5.6,5.467142857
1.3,1.25447619
0.8,0.834285714
1.2,1.305571429
4,3.89
3.5,2.92
1.7,1.708571429
2,2.152142857
1.7,1.72
2.7,2.692238095
1.3,1.329234694
1.2,1.32
5.5,5.581428571
3.8,4.131428571
12.2,11.63
2.3,2.297142857
0.8,0.803400008
0.7,0.662024943
1.9,1.868571429
2.1,2.100459184
4.5,4.182857143
2.6,2.635714286
1.2,1.36111173
1.9,1.908333333
2,1.907857143
7.2,7.412857143
1.1,1.123424036
0.6,0.538253094
1.8,1.786190476
1.5,1.425785044
1.8,1.692993197
0.6,0.698860544
1.4,1.39
1.9,2.087142857
9.6,9.417142857
1.6,1.573
1.6,1.563397186
4.6,4.59
0.7,0.694285714
1.4,1.380527211
1.9,2.002077098
4,4.074285714
1.3,1.24581746
2.2,2.12452381
1.5,1.500857143
1.6,1.497933804
7.3,8.245714286
0.9,0.927857143
8,7.975714286
1.9,1.928047619
0.7,0.68187585
1.2,1.22
1.8,1.774285714
0.8,0.782984111
0.9,1.020871882
1.7,1.662887232
3.8,3.810714286
2.9,2.914285714
1.4,1.415714286
0.7,0.695721088
1.1,0.984713152
0.6,0.586666667
11.3,10.99714286
0.9,0.797928571
1.8,1.760683673
0.7,0.677663265
2.2,2.23
2.5,2.485714286
5.7,5.514285714
8.6,8.298571429
1.7,1.728496238
0.6,0.609295261
1.5,1.347296178
1.3,1.260177327
0.9,0.929
1.6,1.71
2.1,2.042857143
1.6,1.630520408
0.9,0.961785714
1,1.042857143
2.5,2.592404762
1,1.162857143
5.5,5.774285714
3,2.947142857
5.9,5.722857143
1.2,1.158282313
0.6,0.681219955
4.6,4.558571429
0.6,0.609295261
1.6,1.578357143
1.5,1.442867291
1.5,1.53752381
2,1.977142857
5.2,5.218571429
0.7,0.756333333
1.7,1.934285714
1.5,1.500857143
2.2,2.188238095
1.2,1.200595238
0.8,0.809713913
0.4,0.413607143
3.3,3.341428571
2.5,2.434285714
5.6,5.65
5.6,5.664285714
12.6,14.51571429
1.3,1.49
1.2,1.155471552
0.9,1.022607749
2.3,2.275714286
6.8,6.941428571
6.1,6.302857143
1.2,1.20502381
9.9,9.747142857
2.5,2.557261905
4.1,4.29
1.2,1.262635745
6.7,6.258571429
0.5,0.538380385
1.3,1.351110183
4.5,4.435714286
2.9,3.007142857
4,3.958571429
1.2,1.252873377
2.8,2.828571429
1.1,1.020170738
2.4,2.33352381
1.3,1.262635745
3.1,3.072554422
1.6,1.552897344
0.8,0.751952175
1.6,1.580380952
2.9,2.899142857
3.9,3.545714286
0.8,0.8
1.2,1.144150794
1.5,1.442867291
1.1,1.067993197
1.7,1.623130952
1,0.954537988
1.3,1.258571429
6.7,6.622857143
6.7,7.361428571
1,0.90714966
0.9,1.065714286
1.4,1.438951247
7.1,6.308571429
1.1,0.940929705
1.6,1.736911565
1.4,1.42952381
1.7,1.700714286
1.3,1.274285714
0.8,0.826205782
1.6,1.616258503
0.9,0.848983612
1.4,1.368571429
2.3,2.284285714
1.5,1.541428571
2.8,3.472857143
1.7,1.659226757
0.9,0.919571429
1.4,1.447761905
3.4,3.395714286
4,4.014285714
1.4,1.332857143
4.1,4.152857143
1.5,1.541666667
1.2,1.232687075
1.1,1.021123377
1.8,1.73
2.2,2.209047619
0.8,0.798571429
1.5,1.483883247
2.9,2.795358844
1.4,1.337388889
1.8,1.773426871
0.6,0.600733674
42.4,36.89285714
1.4,1.424856372
2.1,2.087931973
3.6,3.655714286
